Local time,Open,High,Low,Close,Volume
01.01.2010 00:30:00.000 GMT+0100,1.61670,1.61678,1.61659,1.61670,3179.1000000000017
01.01.2010 01:15:00.000 GMT+0100,1.61660,1.61678,1.61650,1.61668,1029.2
01.01.2010 02:00:00.000 GMT+0100,1.61675,1.61678,1.61635,1.61662,743.2000000000002
01.01.2010 02:45:00.000 GMT+0100,1.61662,1.61678,1.61647,1.61670,1249.2000000000003
01.01.2010 03:30:00.000 GMT+0100,1.61668,1.61678,1.61605,1.61668,2477.0000000000005
01.01.2010 04:15:00.000 GMT+0100,1.61665,1.61681,1.61598,1.61608,2600.8
01.01.2010 05:00:00.000 GMT+0100,1.61675,1.61685,1.61601,1.61662,2967.6000000000004
01.01.2010 05:45:00.000 GMT+0100,1.61662,1.61678,1.61600,1.61667,3179.3999999999996
01.01.2010 06:30:00.000 GMT+0100,1.61670,1.61678,1.61615,1.61670,6166.999999999998
01.01.2010 07:15:00.000 GMT+0100,1.61670,1.61696,1.61613,1.61678,7987.6
01.01.2010 08:00:00.000 GMT+0100,1.61672,1.61686,1.61603,1.61670,12069.199999999999
01.01.2010 08:45:00.000 GMT+0100,1.61670,1.61685,1.61590,1.61605,11209.1
01.01.2010 09:30:00.000 GMT+0100,1.61610,1.61693,1.61593,1.61670,9949.2
01.01.2010 10:15:00.000 GMT+0100,1.61673,1.61678,1.61582,1.61667,9570.399999999998
01.01.2010 11:00:00.000 GMT+0100,1.61667,1.61678,1.61598,1.61662,9761.5
01.01.2010 11:45:00.000 GMT+0100,1.61667,1.61678,1.61603,1.61667,8375.4
01.01.2010 12:30:00.000 GMT+0100,1.61667,1.61678,1.61601,1.61670,8682.999999999998
01.01.2010 13:15:00.000 GMT+0100,1.61672,1.61682,1.61607,1.61612,7650.099999999999
01.01.2010 14:00:00.000 GMT+0100,1.61612,1.61678,1.61605,1.61670,8782.7
01.01.2010 14:45:00.000 GMT+0100,1.61670,1.61681,1.61660,1.61670,10181.9
01.01.2010 15:30:00.000 GMT+0100,1.61670,1.61678,1.61662,1.61670,8189.099999999999
01.01.2010 16:15:00.000 GMT+0100,1.61670,1.61678,1.61658,1.61672,10441.9
01.01.2010 17:00:00.000 GMT+0100,1.61672,1.61689,1.61487,1.61668,6135.1
01.01.2010 17:45:00.000 GMT+0100,1.61666,1.61690,1.61600,1.61664,3543.099999999999
01.01.2010 18:30:00.000 GMT+0100,1.61603,1.61670,1.61596,1.61668,1568.4
01.01.2010 19:15:00.000 GMT+0100,1.61667,1.61678,1.61660,1.61673,1620.6000000000001
01.01.2010 20:00:00.000 GMT+0100,1.61673,1.61678,1.61662,1.61675,2182.6000000000004
01.01.2010 20:45:00.000 GMT+0100,1.61675,1.61675,1.61662,1.61670,1306.8999999999994
01.01.2010 21:30:00.000 GMT+0100,1.61670,1.61675,1.61662,1.61667,1100.1000000000001
01.01.2010 22:15:00.000 GMT+0100,1.61667,1.61678,1.61614,1.61614,1400.1000000000004
01.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
01.01.2010 23:45:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 00:30:00.000 GMT+0100,1.61614,1.61667,1.61614,1.61667,0
02.01.2010 01:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 02:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 02:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 03:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 04:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 05:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 05:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 06:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 07:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 08:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 08:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 09:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 10:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 11:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 11:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 12:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 13:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 14:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 14:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 15:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 16:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 17:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 17:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 18:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 19:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 20:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 20:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 21:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 22:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 23:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
02.01.2010 23:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 00:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 01:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 02:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 02:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 03:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 04:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 05:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 05:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 06:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 07:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 08:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 08:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 09:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 10:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 11:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 11:45:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 12:30:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 13:15:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
03.01.2010 14:00:00.000 GMT+0100,1.61667,1.61667,1.61667,1.61667,0
