Local time,Open,High,Low,Close,Volume
01.01.2010 07:00:00.000 GMT+0100,1.61673,1.61696,1.61582,1.61670,100262.1006
01.01.2010 15:00:00.000 GMT+0100,1.61672,1.61690,1.61487,1.61614,43416.499500000005
01.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 07:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 15:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 07:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 15:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 23:00:00.000 GMT+0100,1.61034,1.61520,1.60710,1.60945,25509.550499999998
04.01.2010 07:00:00.000 GMT+0100,1.60940,1.62415,1.60575,1.61620,117303.1391
04.01.2010 15:00:00.000 GMT+0100,1.61620,1.61950,1.60815,1.60820,63168.99820000001
04.01.2010 23:00:00.000 GMT+0100,1.60820,1.61400,1.60660,1.61325,27920.510299999998
05.01.2010 07:00:00.000 GMT+0100,1.61325,1.61530,1.59880,1.60375,97241.10889999999
05.01.2010 15:00:00.000 GMT+0100,1.60375,1.60700,1.59650,1.59900,87789.39930000002
05.01.2010 23:00:00.000 GMT+0100,1.59895,1.60045,1.59435,1.59635,29954.4701
06.01.2010 07:00:00.000 GMT+0100,1.59640,1.60635,1.59500,1.59685,103841.0092
06.01.2010 15:00:00.000 GMT+0100,1.59685,1.60430,1.59370,1.60170,105512.101
06.01.2010 23:00:00.000 GMT+0100,1.60170,1.60585,1.59685,1.59740,17742.6599
07.01.2010 07:00:00.000 GMT+0100,1.59735,1.60000,1.58960,1.59230,104219.68109999999
07.01.2010 15:00:00.000 GMT+0100,1.59230,1.59565,1.59035,1.59290,90210.6509
07.01.2010 23:00:00.000 GMT+0100,1.59290,1.59560,1.59150,1.59350,13668.9999
08.01.2010 07:00:00.000 GMT+0100,1.59345,1.61100,1.59265,1.60910,103396.6309
08.01.2010 15:00:00.000 GMT+0100,1.60905,1.60970,1.59565,1.60210,92199.3997
08.01.2010 23:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
09.01.2010 07:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
09.01.2010 15:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
09.01.2010 23:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
10.01.2010 07:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
10.01.2010 15:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
10.01.2010 23:00:00.000 GMT+0100,1.60675,1.61070,1.60430,1.60895,45111.000499999995
11.01.2010 07:00:00.000 GMT+0100,1.60895,1.61935,1.60675,1.61615,120409.3594
11.01.2010 15:00:00.000 GMT+0100,1.61615,1.61800,1.60920,1.61125,85472.6506
11.01.2010 23:00:00.000 GMT+0100,1.61125,1.61200,1.60615,1.60905,23077.3203
12.01.2010 07:00:00.000 GMT+0100,1.60900,1.61725,1.60630,1.61265,105844.0399
12.01.2010 15:00:00.000 GMT+0100,1.61265,1.61945,1.61155,1.61615,96034.82959999998
12.01.2010 23:00:00.000 GMT+0100,1.61615,1.61925,1.61365,1.61795,19680.4998
13.01.2010 07:00:00.000 GMT+0100,1.61790,1.62945,1.61745,1.62825,134716.3028
13.01.2010 15:00:00.000 GMT+0100,1.62825,1.63070,1.62460,1.62785,111230.04789999998
13.01.2010 23:00:00.000 GMT+0100,1.62785,1.63090,1.62625,1.62865,19467.4802
14.01.2010 07:00:00.000 GMT+0100,1.62865,1.63240,1.62495,1.63110,103254.7495
14.01.2010 15:00:00.000 GMT+0100,1.63110,1.63465,1.62850,1.63325,99080.86860000002
14.01.2010 23:00:00.000 GMT+0100,1.63330,1.63545,1.62845,1.63350,18974.189899999998
15.01.2010 07:00:00.000 GMT+0100,1.63355,1.63450,1.62675,1.62890,115836.2315
15.01.2010 15:00:00.000 GMT+0100,1.62900,1.63085,1.62100,1.62615,75179.4595
15.01.2010 23:00:00.000 GMT+0100,1.62615,1.62615,1.62615,1.62615,0
16.01.2010 07:00:00.000 GMT+0100,1.62615,1.62615,1.62615,1.62615,0
16.01.2010 15:00:00.000 GMT+0100,1.62615,1.62615,1.62615,1.62615,0
16.01.2010 23:00:00.000 GMT+0100,1.62615,1.62615,1.62615,1.62615,0
17.01.2010 07:00:00.000 GMT+0100,1.62615,1.62615,1.62615,1.62615,0
17.01.2010 15:00:00.000 GMT+0100,1.62615,1.62615,1.62615,1.62615,0
17.01.2010 23:00:00.000 GMT+0100,1.62615,1.63195,1.62495,1.63050,24729.8599
18.01.2010 07:00:00.000 GMT+0100,1.63055,1.63770,1.62710,1.63045,92258.34079999999
18.01.2010 15:00:00.000 GMT+0100,1.63050,1.63475,1.62990,1.63400,39762.460300000006
18.01.2010 23:00:00.000 GMT+0100,1.63390,1.64200,1.63310,1.64010,21490.549899999998
19.01.2010 07:00:00.000 GMT+0100,1.64010,1.64575,1.63115,1.63400,119903.11050000001
19.01.2010 15:00:00.000 GMT+0100,1.63405,1.63945,1.63235,1.63595,96330.64110000002
19.01.2010 23:00:00.000 GMT+0100,1.63600,1.63715,1.62810,1.62905,25582.7899
20.01.2010 07:00:00.000 GMT+0100,1.62910,1.63260,1.62430,1.62660,116962.08730000001
20.01.2010 15:00:00.000 GMT+0100,1.62660,1.63080,1.62620,1.62890,80755.0703
20.01.2010 23:00:00.000 GMT+0100,1.62890,1.63115,1.62465,1.62620,17824.330100000003
21.01.2010 07:00:00.000 GMT+0100,1.62620,1.62955,1.61245,1.61755,116117.8989
21.01.2010 15:00:00.000 GMT+0100,1.61760,1.62385,1.61340,1.61935,107302.1899
21.01.2010 23:00:00.000 GMT+0100,1.61935,1.62205,1.61670,1.62120,14496.3501
22.01.2010 07:00:00.000 GMT+0100,1.62115,1.62835,1.61005,1.61010,116264.8304
22.01.2010 15:00:00.000 GMT+0100,1.61015,1.61530,1.60770,1.61115,98890.31049999999
22.01.2010 23:00:00.000 GMT+0100,1.61115,1.61115,1.61115,1.61115,0
23.01.2010 07:00:00.000 GMT+0100,1.61115,1.61115,1.61115,1.61115,0
23.01.2010 15:00:00.000 GMT+0100,1.61115,1.61115,1.61115,1.61115,0
23.01.2010 23:00:00.000 GMT+0100,1.61115,1.61115,1.61115,1.61115,0
24.01.2010 07:00:00.000 GMT+0100,1.61115,1.61115,1.61115,1.61115,0
24.01.2010 15:00:00.000 GMT+0100,1.61115,1.61115,1.61115,1.61115,0
24.01.2010 23:00:00.000 GMT+0100,1.61010,1.61360,1.60880,1.61105,15437.929999999998
25.01.2010 07:00:00.000 GMT+0100,1.61105,1.61740,1.61105,1.61560,86556.54019999999
25.01.2010 15:00:00.000 GMT+0100,1.61555,1.62610,1.61540,1.62445,92957.81989999999
25.01.2010 23:00:00.000 GMT+0100,1.62430,1.62680,1.61915,1.62055,17249.7798
26.01.2010 07:00:00.000 GMT+0100,1.62055,1.62630,1.61015,1.61065,103972.0815
26.01.2010 15:00:00.000 GMT+0100,1.61065,1.61760,1.60930,1.61405,104069.9995
26.01.2010 23:00:00.000 GMT+0100,1.61405,1.61545,1.61090,1.61250,48254.6699
27.01.2010 07:00:00.000 GMT+0100,1.61250,1.62440,1.61065,1.62190,123777.7022
27.01.2010 15:00:00.000 GMT+0100,1.62185,1.62190,1.61355,1.61665,106050.40039999998
27.01.2010 23:00:00.000 GMT+0100,1.61665,1.62280,1.61330,1.61800,54892.2003
28.01.2010 07:00:00.000 GMT+0100,1.61800,1.62755,1.61755,1.62485,94056.0988
28.01.2010 15:00:00.000 GMT+0100,1.62485,1.62545,1.61120,1.61355,79438.70090000001
28.01.2010 23:00:00.000 GMT+0100,1.61350,1.61590,1.61095,1.61140,20865.0998
29.01.2010 07:00:00.000 GMT+0100,1.61140,1.61790,1.60530,1.60565,105606.88919999998
29.01.2010 15:00:00.000 GMT+0100,1.60565,1.60670,1.59775,1.59883,122233.71889999999
29.01.2010 23:00:00.000 GMT+0100,1.59883,1.59883,1.59883,1.59883,0
30.01.2010 07:00:00.000 GMT+0100,1.59883,1.59883,1.59883,1.59883,0
30.01.2010 15:00:00.000 GMT+0100,1.59883,1.59883,1.59883,1.59883,0
30.01.2010 23:00:00.000 GMT+0100,1.59883,1.59883,1.59883,1.59883,0
31.01.2010 07:00:00.000 GMT+0100,1.59883,1.59883,1.59883,1.59883,0
31.01.2010 15:00:00.000 GMT+0100,1.59883,1.59883,1.59883,1.59883,0
31.01.2010 23:00:00.000 GMT+0100,1.59440,1.59740,1.59355,1.59545,34615.8
01.02.2010 07:00:00.000 GMT+0100,1.59545,1.59785,1.58505,1.59235,133703.9902
01.02.2010 15:00:00.000 GMT+0100,1.59230,1.59675,1.58920,1.59565,104149.84030000001
01.02.2010 23:00:00.000 GMT+0100,1.59555,1.59735,1.59200,1.59410,33293.400200000004
02.02.2010 07:00:00.000 GMT+0100,1.59410,1.59695,1.59020,1.59420,115011.95019999999
