Local time,Open,High,Low,Close,Volume
01.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 23:00:00.000 GMT+0100,1.61034,1.62415,1.60575,1.60820,205981.68779999999
04.01.2010 23:00:00.000 GMT+0100,1.60820,1.61530,1.59650,1.59900,212951.0185
05.01.2010 23:00:00.000 GMT+0100,1.59895,1.60635,1.59370,1.60170,239307.58030000003
06.01.2010 23:00:00.000 GMT+0100,1.60170,1.60585,1.58960,1.59290,212172.9919
07.01.2010 23:00:00.000 GMT+0100,1.59290,1.61100,1.59150,1.60210,209265.03050000002
08.01.2010 23:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
09.01.2010 23:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
10.01.2010 23:00:00.000 GMT+0100,1.60675,1.61935,1.60430,1.61125,250993.0105
11.01.2010 23:00:00.000 GMT+0100,1.61125,1.61945,1.60615,1.61615,224956.18980000002
12.01.2010 23:00:00.000 GMT+0100,1.61615,1.63070,1.61365,1.62785,265626.8505
13.01.2010 23:00:00.000 GMT+0100,1.62785,1.63465,1.62495,1.63325,221803.09829999995
14.01.2010 23:00:00.000 GMT+0100,1.63330,1.63545,1.62100,1.62615,209989.88089999996
15.01.2010 23:00:00.000 GMT+0100,1.62615,1.62615,1.62615,1.62615,0
16.01.2010 23:00:00.000 GMT+0100,1.62615,1.62615,1.62615,1.62615,0
17.01.2010 23:00:00.000 GMT+0100,1.62615,1.63770,1.62495,1.63400,156750.661
18.01.2010 23:00:00.000 GMT+0100,1.63390,1.64575,1.63115,1.63595,237724.3015
19.01.2010 23:00:00.000 GMT+0100,1.63600,1.63715,1.62430,1.62890,223299.94749999998
20.01.2010 23:00:00.000 GMT+0100,1.62890,1.63115,1.61245,1.61935,241244.41889999996
21.01.2010 23:00:00.000 GMT+0100,1.61935,1.62835,1.60770,1.61115,229651.491
22.01.2010 23:00:00.000 GMT+0100,1.61115,1.61115,1.61115,1.61115,0
23.01.2010 23:00:00.000 GMT+0100,1.61115,1.61115,1.61115,1.61115,0
24.01.2010 23:00:00.000 GMT+0100,1.61010,1.62610,1.60880,1.62445,194952.29009999998
25.01.2010 23:00:00.000 GMT+0100,1.62430,1.62680,1.60930,1.61405,225291.86079999997
26.01.2010 23:00:00.000 GMT+0100,1.61405,1.62440,1.61065,1.61665,278082.7725
27.01.2010 23:00:00.000 GMT+0100,1.61665,1.62755,1.61120,1.61355,228387.00000000003
28.01.2010 23:00:00.000 GMT+0100,1.61350,1.61790,1.59775,1.59883,248705.70789999995
29.01.2010 23:00:00.000 GMT+0100,1.59883,1.59883,1.59883,1.59883,0
30.01.2010 23:00:00.000 GMT+0100,1.59883,1.59883,1.59883,1.59883,0
31.01.2010 23:00:00.000 GMT+0100,1.59440,1.59785,1.58505,1.59565,272469.6305
01.02.2010 23:00:00.000 GMT+0100,1.59555,1.59950,1.59020,1.59730,264759.8811
02.02.2010 23:00:00.000 GMT+0100,1.59730,1.60690,1.58760,1.58905,240003.25969999997
03.02.2010 23:00:00.000 GMT+0100,1.58905,1.59185,1.57300,1.57515,233650.98059999995
04.02.2010 23:00:00.000 GMT+0100,1.57515,1.57750,1.55580,1.56380,227923.0195
05.02.2010 23:00:00.000 GMT+0100,1.56380,1.56380,1.56380,1.56380,0
06.02.2010 23:00:00.000 GMT+0100,1.56380,1.56380,1.56380,1.56380,0
07.02.2010 23:00:00.000 GMT+0100,1.55890,1.56595,1.55335,1.55835,256142.01289999997
08.02.2010 23:00:00.000 GMT+0100,1.55835,1.57475,1.55610,1.57170,240397.93210000003
09.02.2010 23:00:00.000 GMT+0100,1.57170,1.57650,1.55715,1.55940,231026.5905
10.02.2010 23:00:00.000 GMT+0100,1.55940,1.57175,1.55590,1.57040,288116.7203
11.02.2010 23:00:00.000 GMT+0100,1.57040,1.57405,1.55800,1.56980,234774.60989999998
12.02.2010 23:00:00.000 GMT+0100,1.56980,1.56980,1.56980,1.56980,0
13.02.2010 23:00:00.000 GMT+0100,1.56980,1.56980,1.56980,1.56980,0
14.02.2010 23:00:00.000 GMT+0100,1.56805,1.57205,1.56120,1.56575,117745.0206
15.02.2010 23:00:00.000 GMT+0100,1.56575,1.57950,1.56270,1.57905,235522.22040000002
16.02.2010 23:00:00.000 GMT+0100,1.57905,1.58155,1.56653,1.56700,263827.452
17.02.2010 23:00:00.000 GMT+0100,1.56700,1.56870,1.54960,1.55285,253462.89789999995
18.02.2010 23:00:00.000 GMT+0100,1.55275,1.55400,1.53505,1.54700,255257.64779999998
19.02.2010 23:00:00.000 GMT+0100,1.54700,1.54700,1.54700,1.54700,0
20.02.2010 23:00:00.000 GMT+0100,1.54700,1.54700,1.54700,1.54700,0
21.02.2010 23:00:00.000 GMT+0100,1.54740,1.55205,1.54305,1.54800,247830.6641
22.02.2010 23:00:00.000 GMT+0100,1.54790,1.55750,1.53930,1.54210,332796.41000000003
23.02.2010 23:00:00.000 GMT+0100,1.54200,1.54760,1.53855,1.54075,272012.4069
24.02.2010 23:00:00.000 GMT+0100,1.54075,1.54220,1.51880,1.52625,250589.5912
25.02.2010 23:00:00.000 GMT+0100,1.52625,1.53165,1.51515,1.52347,247354.3706
26.02.2010 23:00:00.000 GMT+0100,1.52347,1.52347,1.52347,1.52347,0
27.02.2010 23:00:00.000 GMT+0100,1.52347,1.52347,1.52347,1.52347,0
28.02.2010 23:00:00.000 GMT+0100,1.51540,1.52030,1.47805,1.49890,317427.6337
01.03.2010 23:00:00.000 GMT+0100,1.49885,1.49985,1.48540,1.49700,310959.2803
02.03.2010 23:00:00.000 GMT+0100,1.49700,1.51305,1.49575,1.50970,240615.9904
03.03.2010 23:00:00.000 GMT+0100,1.50970,1.51355,1.50055,1.50300,216269.10980000006
04.03.2010 23:00:00.000 GMT+0100,1.50305,1.51665,1.49920,1.51340,179186.40960000004
05.03.2010 23:00:00.000 GMT+0100,1.51340,1.51340,1.51340,1.51340,0
06.03.2010 23:00:00.000 GMT+0100,1.51340,1.51340,1.51340,1.51340,0
07.03.2010 23:00:00.000 GMT+0100,1.51310,1.51960,1.50305,1.50650,290127.1693
08.03.2010 23:00:00.000 GMT+0100,1.50650,1.50680,1.49355,1.49960,267894.26019999996
09.03.2010 23:00:00.000 GMT+0100,1.49960,1.50155,1.48725,1.49750,249651.24059999996
10.03.2010 23:00:00.000 GMT+0100,1.49750,1.50665,1.49450,1.50605,206284.94019999998
11.03.2010 23:00:00.000 GMT+0100,1.50610,1.52170,1.50260,1.52025,226250.25089999998
12.03.2010 23:00:00.000 GMT+0100,1.52025,1.52025,1.52025,1.52025,0
13.03.2010 23:00:00.000 GMT+0100,1.52025,1.52025,1.52025,1.52025,0
14.03.2010 22:00:00.000 GMT+0100,1.51684,1.52070,1.50185,1.50560,274526.2611
15.03.2010 22:00:00.000 GMT+0100,1.50560,1.52595,1.49775,1.52420,306273.92669999995
16.03.2010 22:00:00.000 GMT+0100,1.52420,1.53815,1.52085,1.53235,330092.17240000004
17.03.2010 22:00:00.000 GMT+0100,1.53225,1.53285,1.52165,1.52410,233168.44689999998
18.03.2010 22:00:00.000 GMT+0100,1.52405,1.52555,1.49880,1.50105,225116.9608
19.03.2010 22:00:00.000 GMT+0100,1.50105,1.50105,1.50105,1.50105,0
20.03.2010 22:00:00.000 GMT+0100,1.50105,1.50105,1.50105,1.50105,0
21.03.2010 22:00:00.000 GMT+0100,1.50223,1.51060,1.49310,1.50980,245290.25920000003
22.03.2010 22:00:00.000 GMT+0100,1.50980,1.51120,1.49725,1.50455,254965.5724
23.03.2010 22:00:00.000 GMT+0100,1.50455,1.50475,1.48630,1.48655,246052.92160000003
24.03.2010 22:00:00.000 GMT+0100,1.48635,1.50020,1.47975,1.48105,213217.50100000002
25.03.2010 22:00:00.000 GMT+0100,1.48095,1.49235,1.48050,1.48950,234419.8288
26.03.2010 22:00:00.000 GMT+0100,1.48950,1.48950,1.48950,1.48950,0
27.03.2010 22:00:00.000 GMT+0100,1.48950,1.48950,1.48950,1.48950,0
28.03.2010 22:00:00.000 GMT+0100,1.49135,1.50190,1.48915,1.49850,254787.6086
29.03.2010 22:00:00.000 GMT+0100,1.49850,1.51265,1.49735,1.50675,266360.341
30.03.2010 22:00:00.000 GMT+0100,1.50680,1.52035,1.50430,1.51815,283134.7013
31.03.2010 22:00:00.000 GMT+0100,1.51810,1.52980,1.51705,1.52905,211539.7011
01.04.2010 22:00:00.000 GMT+0100,1.52880,1.52960,1.51815,1.52035,73090.62990000001
02.04.2010 22:00:00.000 GMT+0100,1.52035,1.52035,1.52035,1.52035,0
03.04.2010 22:00:00.000 GMT+0100,1.52035,1.52035,1.52035,1.52035,0
04.04.2010 22:00:00.000 GMT+0100,1.52815,1.53190,1.52230,1.52935,99370.05860000002
05.04.2010 22:00:00.000 GMT+0100,1.52930,1.53065,1.51290,1.52655,224270.13420000003
06.04.2010 22:00:00.000 GMT+0100,1.52640,1.52860,1.51375,1.52380,252613.97960000005
07.04.2010 22:00:00.000 GMT+0100,1.52375,1.52800,1.51405,1.52785,255461.50309999997
08.04.2010 22:00:00.000 GMT+0100,1.52785,1.53910,1.52670,1.53685,223741.54269999996
09.04.2010 22:00:00.000 GMT+0100,1.53685,1.53685,1.53685,1.53685,0
10.04.2010 22:00:00.000 GMT+0100,1.53685,1.53685,1.53685,1.53685,0
11.04.2010 22:00:00.000 GMT+0100,1.54535,1.54850,1.53525,1.53660,238584.0674
12.04.2010 22:00:00.000 GMT+0100,1.53655,1.54485,1.53355,1.53795,253378.91900000002
13.04.2010 22:00:00.000 GMT+0100,1.53785,1.54905,1.53710,1.54650,248822.4311
14.04.2010 22:00:00.000 GMT+0100,1.54645,1.55225,1.53850,1.54930,275679.932
15.04.2010 22:00:00.000 GMT+0100,1.54930,1.55055,1.53570,1.53600,236189.8498
16.04.2010 22:00:00.000 GMT+0100,1.53600,1.53600,1.53600,1.53600,0
17.04.2010 22:00:00.000 GMT+0100,1.53600,1.53600,1.53600,1.53600,0
18.04.2010 22:00:00.000 GMT+0100,1.52782,1.53400,1.51915,1.53360,257431.38100000002
19.04.2010 22:00:00.000 GMT+0100,1.53360,1.54320,1.52890,1.53575,255086.38809999998
20.04.2010 22:00:00.000 GMT+0100,1.53565,1.54390,1.53310,1.54095,269090.6201
21.04.2010 22:00:00.000 GMT+0100,1.54080,1.54730,1.53415,1.53760,335310.3994
22.04.2010 22:00:00.000 GMT+0100,1.53760,1.53975,1.52935,1.53745,281706.8481
23.04.2010 22:00:00.000 GMT+0100,1.53745,1.53745,1.53745,1.53745,0
24.04.2010 22:00:00.000 GMT+0100,1.53745,1.53745,1.53745,1.53745,0
25.04.2010 22:00:00.000 GMT+0100,1.53865,1.54975,1.53700,1.54555,317752.78060000006
26.04.2010 22:00:00.000 GMT+0100,1.54555,1.54830,1.52390,1.52630,412195.74179999996
27.04.2010 22:00:00.000 GMT+0100,1.52620,1.52875,1.51250,1.52065,385325.01360000006
28.04.2010 22:00:00.000 GMT+0100,1.52065,1.53415,1.51420,1.53180,356092.1085
29.04.2010 22:00:00.000 GMT+0100,1.53160,1.53905,1.52530,1.52665,278882.5114
30.04.2010 22:00:00.000 GMT+0100,1.52665,1.52710,1.52665,1.52710,0
01.05.2010 22:00:00.000 GMT+0100,1.52710,1.52710,1.52710,1.52710,0
