Local time,Open,High,Low,Close,Volume
31.01.2010 23:00:00.000 GMT+0100,1.59440,1.60690,1.51515,1.52347,4965663.318600001
28.02.2010 23:00:00.000 GMT+0100,1.51540,1.53815,1.47805,1.51815,5872072.786800001
31.03.2010 22:00:00.000 GMT+0100,1.51810,1.55225,1.51250,1.52665,5741616.541099999
30.04.2010 22:00:00.000 GMT+0100,1.53240,1.53335,1.42275,1.45365,5266993.395099997
31.05.2010 22:00:00.000 GMT+0100,1.45325,1.51275,1.43460,1.49425,5733299.176699997
30.06.2010 22:00:00.000 GMT+0100,1.49425,1.57205,1.48730,1.56845,5510012.286000001
31.07.2010 22:00:00.000 GMT+0100,1.57037,1.59975,1.53260,1.53465,5699489.968599998
31.08.2010 22:00:00.000 GMT+0100,1.53465,1.59225,1.52965,1.57155,5822674.710000003
30.09.2010 22:00:00.000 GMT+0100,1.57155,1.61055,1.56500,1.60355,4801840.272499999
31.10.2010 22:00:00.000 GMT+0100,1.60428,1.62981,1.54841,1.55606,1851751.1957000007
30.11.2010 23:00:00.000 GMT+0100,1.55606,1.59103,1.53439,1.56081,2568664.231399996
31.12.2010 23:00:00.000 GMT+0100,1.55626,1.60586,1.54056,1.58577,2583786.5972
