Local time,Open,High,Low,Close,Volume
03.01.2010 23:00:00.000 GMT+0100,1.61034,1.62415,1.58960,1.60210,1079678.309
10.01.2010 23:00:00.000 GMT+0100,1.60675,1.63545,1.60430,1.62615,1173369.0300000003
17.01.2010 23:00:00.000 GMT+0100,1.62615,1.64575,1.60770,1.61115,1088670.8199000005
24.01.2010 23:00:00.000 GMT+0100,1.61010,1.62755,1.59775,1.59883,1175419.6313
31.01.2010 23:00:00.000 GMT+0100,1.59440,1.60690,1.55580,1.56380,1238806.7713999995
07.02.2010 23:00:00.000 GMT+0100,1.55890,1.57650,1.55335,1.56980,1250457.8657000002
14.02.2010 23:00:00.000 GMT+0100,1.56805,1.58155,1.53505,1.54700,1125815.2386999996
21.02.2010 23:00:00.000 GMT+0100,1.54740,1.55750,1.51515,1.52347,1350583.4427999994
28.02.2010 23:00:00.000 GMT+0100,1.51540,1.52030,1.47805,1.51340,1264458.4237999998
07.03.2010 23:00:00.000 GMT+0100,1.51310,1.52170,1.48725,1.52025,1240207.8611999997
14.03.2010 22:00:00.000 GMT+0100,1.51684,1.53815,1.49775,1.50105,1369177.7678999999
21.03.2010 22:00:00.000 GMT+0100,1.50223,1.51120,1.47975,1.48950,1193946.0829999996
28.03.2010 22:00:00.000 GMT+0100,1.49135,1.52980,1.48915,1.52035,1088912.9819000007
04.04.2010 22:00:00.000 GMT+0100,1.52815,1.53910,1.51290,1.53685,1055457.2182000005
11.04.2010 22:00:00.000 GMT+0100,1.54535,1.55225,1.53355,1.53600,1252655.1992999997
18.04.2010 22:00:00.000 GMT+0100,1.52782,1.54730,1.51915,1.53745,1398625.6367000004
25.04.2010 22:00:00.000 GMT+0100,1.53865,1.54975,1.51250,1.52710,1750248.1559000001
02.05.2010 22:00:00.000 GMT+0100,1.53240,1.53335,1.44755,1.48010,1464920.0263999999
09.05.2010 22:00:00.000 GMT+0100,1.48820,1.50540,1.44955,1.45315,1263777.0133000005
16.05.2010 22:00:00.000 GMT+0100,1.45168,1.45455,1.42275,1.44560,1219838.4197000002
23.05.2010 22:00:00.000 GMT+0100,1.44595,1.46110,1.42580,1.44535,1188468.1259000006
30.05.2010 22:00:00.000 GMT+0100,1.44150,1.47700,1.44000,1.44515,1288692.6742
06.06.2010 22:00:00.000 GMT+0100,1.44095,1.47585,1.43460,1.45485,1505027.6044999997
13.06.2010 22:00:00.000 GMT+0100,1.45695,1.48860,1.45495,1.48195,1214436.5971
20.06.2010 22:00:00.000 GMT+0100,1.48595,1.50770,1.46875,1.50560,1134745.7712000003
27.06.2010 22:00:00.000 GMT+0100,1.50535,1.52290,1.48730,1.51925,1163038.2026000002
04.07.2010 22:00:00.000 GMT+0100,1.52025,1.52405,1.50500,1.50625,1111361.8581999994
11.07.2010 22:00:00.000 GMT+0100,1.50775,1.54710,1.49480,1.53000,1405382.3010999996
18.07.2010 22:00:00.000 GMT+0100,1.52750,1.54490,1.51235,1.54230,1292549.6835000003
25.07.2010 22:00:00.000 GMT+0100,1.54155,1.57205,1.54060,1.56810,1258066.5801000004
01.08.2010 22:00:00.000 GMT+0100,1.57037,1.59975,1.56950,1.59415,1087741.0761000002
08.08.2010 22:00:00.000 GMT+0100,1.59640,1.59950,1.55615,1.55920,1339582.3934
15.08.2010 22:00:00.000 GMT+0100,1.56095,1.57020,1.54620,1.55335,1253267.6724000005
22.08.2010 22:00:00.000 GMT+0100,1.55295,1.56190,1.53715,1.55265,1503124.6268
29.08.2010 22:00:00.000 GMT+0100,1.55300,1.55755,1.53260,1.54495,1252670.1293999997
05.09.2010 22:00:00.000 GMT+0100,1.54300,1.55325,1.52965,1.53560,1371077.9353
12.09.2010 22:00:00.000 GMT+0100,1.53555,1.57280,1.53470,1.56260,1258456.7266999995
19.09.2010 22:00:00.000 GMT+0100,1.56482,1.58435,1.55030,1.58135,1155243.5265
26.09.2010 22:00:00.000 GMT+0100,1.58150,1.59225,1.56690,1.58170,1566301.6734000007
03.10.2010 22:00:00.000 GMT+0100,1.57983,1.60175,1.57485,1.59615,1230420.6535
10.10.2010 22:00:00.000 GMT+0100,1.59503,1.61055,1.57550,1.59900,1384990.6267999995
17.10.2010 22:00:00.000 GMT+0100,1.59722,1.60035,1.56500,1.56835,1307711.8612
24.10.2010 22:00:00.000 GMT+0100,1.56780,1.60440,1.56612,1.60355,613416.0495999998
31.10.2010 22:00:00.000 GMT+0100,1.60428,1.62981,1.59614,1.61783,514506.7978999999
07.11.2010 23:00:00.000 GMT+0100,1.61943,1.62122,1.59515,1.61122,513165.8982999999
14.11.2010 23:00:00.000 GMT+0100,1.61448,1.61529,1.58384,1.59767,290916.7003
21.11.2010 23:00:00.000 GMT+0100,1.59791,1.60841,1.55753,1.55907,291544.69940000004
28.11.2010 23:00:00.000 GMT+0100,1.55889,1.57869,1.54841,1.57683,641943.6976000001
05.12.2010 23:00:00.000 GMT+0100,1.57571,1.58614,1.56550,1.58002,598506.6026000002
12.12.2010 23:00:00.000 GMT+0100,1.57943,1.59103,1.54538,1.55324,647098.3985999998
19.12.2010 23:00:00.000 GMT+0100,1.55141,1.55759,1.53559,1.54375,484101.7244999999
26.12.2010 23:00:00.000 GMT+0100,1.54363,1.56639,1.53439,1.56080,438630.9078999998
