Local time,Open,High,Low,Close,Volume
30.11.2011 23:00:00.000 GMT+0100,1.57039,1.57558,1.56364,1.56869,212177.939
01.12.2011 23:00:00.000 GMT+0100,1.56881,1.57253,1.55763,1.55951,194689.0785
02.12.2011 23:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
03.12.2011 23:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
04.12.2011 23:00:00.000 GMT+0100,1.56249,1.57167,1.55855,1.56479,184965.18000000005
05.12.2011 23:00:00.000 GMT+0100,1.56477,1.56640,1.55610,1.55988,214024.9995
06.12.2011 23:00:00.000 GMT+0100,1.55994,1.57231,1.55942,1.57091,202975.6425
07.12.2011 23:00:00.000 GMT+0100,1.57089,1.57694,1.56099,1.56278,217742.83020000003
08.12.2011 23:00:00.000 GMT+0100,1.56263,1.57345,1.55845,1.56673,213251.4791
09.12.2011 23:00:00.000 GMT+0100,1.56673,1.56673,1.56673,1.56673,0
10.12.2011 23:00:00.000 GMT+0100,1.56673,1.56673,1.56673,1.56673,0
11.12.2011 23:00:00.000 GMT+0100,1.56531,1.56577,1.55370,1.55829,238084.61909999995
12.12.2011 23:00:00.000 GMT+0100,1.55835,1.56291,1.54505,1.54779,251288.84110000002
13.12.2011 23:00:00.000 GMT+0100,1.54777,1.55310,1.54090,1.54658,227145.0281999999
14.12.2011 23:00:00.000 GMT+0100,1.54638,1.55291,1.54332,1.55132,214093.26839999997
15.12.2011 23:00:00.000 GMT+0100,1.55134,1.55571,1.54831,1.55427,199573.41169999997
16.12.2011 23:00:00.000 GMT+0100,1.55427,1.55427,1.55427,1.55427,0
17.12.2011 23:00:00.000 GMT+0100,1.55427,1.55427,1.55427,1.55427,0
18.12.2011 23:00:00.000 GMT+0100,1.55420,1.55446,1.54645,1.54979,204625.35059999998
19.12.2011 23:00:00.000 GMT+0100,1.54983,1.57005,1.54937,1.56607,203155.2684
20.12.2011 23:00:00.000 GMT+0100,1.56603,1.57737,1.56476,1.56740,222658.76039999997
21.12.2011 23:00:00.000 GMT+0100,1.56731,1.57280,1.56489,1.56765,172991.84920000003
22.12.2011 23:00:00.000 GMT+0100,1.56771,1.57073,1.55792,1.55847,125083.0994
23.12.2011 23:00:00.000 GMT+0100,1.55847,1.55847,1.55847,1.55847,0
24.12.2011 23:00:00.000 GMT+0100,1.55847,1.55847,1.55847,1.55847,0
25.12.2011 23:00:00.000 GMT+0100,1.55928,1.56455,1.55809,1.56285,29538.4802
26.12.2011 23:00:00.000 GMT+0100,1.56285,1.56850,1.55951,1.56694,89190.17029999998
27.12.2011 23:00:00.000 GMT+0100,1.56692,1.56915,1.54400,1.54591,162252.58959999995
28.12.2011 23:00:00.000 GMT+0100,1.54581,1.54758,1.53617,1.54135,167245.51959999997
29.12.2011 23:00:00.000 GMT+0100,1.54135,1.55716,1.54002,1.55407,149541.24959999998
30.12.2011 23:00:00.000 GMT+0100,1.55407,1.55407,1.55407,1.55407,0
31.12.2011 23:00:00.000 GMT+0100,1.55407,1.55422,1.55407,1.55422,0
