Local time,Open,High,Low,Close,Volume
30.11.2011 23:00:00.000 GMT+0100,1.57039,1.57067,1.56881,1.57031,6803.48
01.12.2011 01:00:00.000 GMT+0100,1.57032,1.57166,1.56884,1.56940,13541.0201
01.12.2011 03:00:00.000 GMT+0100,1.56940,1.56997,1.56730,1.56884,10903.42
01.12.2011 05:00:00.000 GMT+0100,1.56884,1.57121,1.56882,1.56922,11163.6099
01.12.2011 07:00:00.000 GMT+0100,1.56922,1.56979,1.56467,1.56481,17265.9595
01.12.2011 09:00:00.000 GMT+0100,1.56479,1.57278,1.56364,1.57205,29126.9394
01.12.2011 11:00:00.000 GMT+0100,1.57205,1.57453,1.56952,1.57092,26049.7099
01.12.2011 13:00:00.000 GMT+0100,1.57091,1.57337,1.57036,1.57141,23899.240299999998
01.12.2011 15:00:00.000 GMT+0100,1.57142,1.57558,1.56814,1.56830,26566.9697
01.12.2011 17:00:00.000 GMT+0100,1.56829,1.56997,1.56650,1.56881,21573.8301
01.12.2011 19:00:00.000 GMT+0100,1.56879,1.57082,1.56837,1.56861,15216.92
01.12.2011 21:00:00.000 GMT+0100,1.56860,1.56974,1.56788,1.56869,10066.8401
01.12.2011 23:00:00.000 GMT+0100,1.56881,1.56952,1.56746,1.56828,5133.27
02.12.2011 01:00:00.000 GMT+0100,1.56826,1.56942,1.56773,1.56890,10688.780200000001
02.12.2011 03:00:00.000 GMT+0100,1.56890,1.56900,1.56686,1.56755,7446.8101
02.12.2011 05:00:00.000 GMT+0100,1.56753,1.56812,1.56708,1.56763,6868.25
02.12.2011 07:00:00.000 GMT+0100,1.56764,1.57061,1.56748,1.56955,14485.7598
02.12.2011 09:00:00.000 GMT+0100,1.56957,1.57053,1.56659,1.56943,23685.9795
02.12.2011 11:00:00.000 GMT+0100,1.56942,1.57028,1.56700,1.56918,20347.04
02.12.2011 13:00:00.000 GMT+0100,1.56918,1.57253,1.56772,1.56961,27250.9102
02.12.2011 15:00:00.000 GMT+0100,1.56963,1.57004,1.56133,1.56269,30361.0596
02.12.2011 17:00:00.000 GMT+0100,1.56271,1.56274,1.55763,1.55881,24168.2792
