Local time,Open,High,Low,Close,Volume
30.11.2011 23:45:00.000 GMT+0100,1.56908,1.57000,1.56881,1.56892,2176.5099999999998
01.12.2011 00:30:00.000 GMT+0100,1.56892,1.57067,1.56888,1.57028,3764.73
01.12.2011 01:15:00.000 GMT+0100,1.57028,1.57056,1.56884,1.56895,4423.009999999998
01.12.2011 02:00:00.000 GMT+0100,1.56894,1.57166,1.56887,1.56930,5923.56
01.12.2011 02:45:00.000 GMT+0100,1.56928,1.57000,1.56872,1.56900,4716.890000000001
01.12.2011 03:30:00.000 GMT+0100,1.56900,1.56912,1.56730,1.56780,3958.84
01.12.2011 04:15:00.000 GMT+0100,1.56780,1.56886,1.56744,1.56884,3880.840000000001
01.12.2011 05:00:00.000 GMT+0100,1.56884,1.57028,1.56882,1.56985,3532.1
01.12.2011 05:45:00.000 GMT+0100,1.56987,1.57121,1.56975,1.57004,4126.92
01.12.2011 06:30:00.000 GMT+0100,1.57002,1.57053,1.56888,1.56888,5054.460000000001
01.12.2011 07:15:00.000 GMT+0100,1.56888,1.56979,1.56801,1.56837,4437.16
01.12.2011 08:00:00.000 GMT+0100,1.56835,1.56969,1.56629,1.56644,8133.079999999999
01.12.2011 08:45:00.000 GMT+0100,1.56643,1.56766,1.56405,1.56460,10435.08
01.12.2011 09:30:00.000 GMT+0100,1.56460,1.56847,1.56364,1.56751,10736.08
01.12.2011 10:15:00.000 GMT+0100,1.56751,1.57278,1.56746,1.57205,11101.629999999997
01.12.2011 11:00:00.000 GMT+0100,1.57205,1.57453,1.57101,1.57403,11671.410000000002
01.12.2011 11:45:00.000 GMT+0100,1.57403,1.57446,1.57043,1.57048,8861.42
01.12.2011 12:30:00.000 GMT+0100,1.57046,1.57288,1.56952,1.57276,8357.99
01.12.2011 13:15:00.000 GMT+0100,1.57276,1.57337,1.57162,1.57199,8299.67
01.12.2011 14:00:00.000 GMT+0100,1.57197,1.57331,1.57038,1.57065,9775.59
01.12.2011 14:45:00.000 GMT+0100,1.57065,1.57226,1.57036,1.57167,8638.15
01.12.2011 15:30:00.000 GMT+0100,1.57169,1.57439,1.57054,1.57323,10425.860000000002
01.12.2011 16:15:00.000 GMT+0100,1.57323,1.57558,1.56814,1.56830,10485.83
01.12.2011 17:00:00.000 GMT+0100,1.56829,1.56928,1.56650,1.56867,9914.71
01.12.2011 17:45:00.000 GMT+0100,1.56867,1.56997,1.56800,1.56910,7177.28
01.12.2011 18:30:00.000 GMT+0100,1.56910,1.56988,1.56853,1.56928,6817.430000000002
01.12.2011 19:15:00.000 GMT+0100,1.56927,1.57082,1.56862,1.56952,6248.419999999998
01.12.2011 20:00:00.000 GMT+0100,1.56952,1.57047,1.56910,1.56971,5004.05
01.12.2011 20:45:00.000 GMT+0100,1.56974,1.56980,1.56837,1.56948,4799.840000000001
01.12.2011 21:30:00.000 GMT+0100,1.56950,1.56974,1.56788,1.56940,4130.89
01.12.2011 22:15:00.000 GMT+0100,1.56940,1.56954,1.56835,1.56869,2764.9700000000003
01.12.2011 23:00:00.000 GMT+0100,1.56881,1.56952,1.56775,1.56906,1976.71
01.12.2011 23:45:00.000 GMT+0100,1.56905,1.56914,1.56851,1.56868,1843.1499999999999
02.12.2011 00:30:00.000 GMT+0100,1.56868,1.56885,1.56746,1.56807,2345.4500000000003
02.12.2011 01:15:00.000 GMT+0100,1.56805,1.56942,1.56773,1.56902,3990.7000000000007
02.12.2011 02:00:00.000 GMT+0100,1.56904,1.56930,1.56789,1.56818,4353.84
02.12.2011 02:45:00.000 GMT+0100,1.56818,1.56900,1.56802,1.56830,3037.540000000001
02.12.2011 03:30:00.000 GMT+0100,1.56830,1.56853,1.56753,1.56773,2624.7999999999997
02.12.2011 04:15:00.000 GMT+0100,1.56773,1.56791,1.56686,1.56755,3096.6700000000014
02.12.2011 05:00:00.000 GMT+0100,1.56753,1.56812,1.56716,1.56744,2572.98
02.12.2011 05:45:00.000 GMT+0100,1.56747,1.56791,1.56727,1.56762,2145.01
02.12.2011 06:30:00.000 GMT+0100,1.56762,1.56788,1.56708,1.56772,3332.2900000000004
02.12.2011 07:15:00.000 GMT+0100,1.56772,1.56843,1.56748,1.56761,3884.5999999999995
02.12.2011 08:00:00.000 GMT+0100,1.56761,1.57061,1.56751,1.56895,6741.2699999999995
02.12.2011 08:45:00.000 GMT+0100,1.56893,1.57051,1.56840,1.56940,9568.36
02.12.2011 09:30:00.000 GMT+0100,1.56940,1.57053,1.56851,1.56891,8169.069999999999
02.12.2011 10:15:00.000 GMT+0100,1.56891,1.57011,1.56659,1.56943,8626.410000000002
02.12.2011 11:00:00.000 GMT+0100,1.56942,1.57028,1.56767,1.56809,7847.839999999998
02.12.2011 11:45:00.000 GMT+0100,1.56812,1.56901,1.56700,1.56839,7130.420000000001
02.12.2011 12:30:00.000 GMT+0100,1.56839,1.56999,1.56772,1.56818,8253.73
02.12.2011 13:15:00.000 GMT+0100,1.56818,1.57170,1.56803,1.57081,10344.660000000003
02.12.2011 14:00:00.000 GMT+0100,1.57081,1.57253,1.56803,1.56890,10616.020000000002
02.12.2011 14:45:00.000 GMT+0100,1.56899,1.57004,1.56867,1.56906,9643.52
02.12.2011 15:30:00.000 GMT+0100,1.56906,1.56911,1.56500,1.56512,11549.950000000004
02.12.2011 16:15:00.000 GMT+0100,1.56510,1.56570,1.56133,1.56269,12572.87
02.12.2011 17:00:00.000 GMT+0100,1.56271,1.56274,1.55763,1.55819,12165.84
02.12.2011 17:45:00.000 GMT+0100,1.55819,1.55936,1.55772,1.55894,7646.909999999999
02.12.2011 18:30:00.000 GMT+0100,1.55899,1.55956,1.55821,1.55886,6719.779999999998
02.12.2011 19:15:00.000 GMT+0100,1.55886,1.56004,1.55876,1.55933,5591.099999999999
02.12.2011 20:00:00.000 GMT+0100,1.55933,1.55992,1.55851,1.55890,5305.35
02.12.2011 20:45:00.000 GMT+0100,1.55890,1.56019,1.55886,1.55934,4932.040000000002
02.12.2011 21:30:00.000 GMT+0100,1.55934,1.56016,1.55861,1.55889,3617.2100000000005
02.12.2011 22:15:00.000 GMT+0100,1.55888,1.56094,1.55888,1.55951,2442.989999999999
02.12.2011 23:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
02.12.2011 23:45:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
03.12.2011 00:30:00.000 GMT+0100,1.55951,1.55951,1.55908,1.55908,0
03.12.2011 01:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 02:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 02:45:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 03:30:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 04:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 05:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 05:45:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 06:30:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 07:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 08:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 08:45:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 09:30:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 10:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 11:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 11:45:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 12:30:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 13:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 14:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 14:45:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 15:30:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 16:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 17:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 17:45:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 18:30:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 19:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 20:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 20:45:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 21:30:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 22:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 23:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
03.12.2011 23:45:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
04.12.2011 00:30:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
04.12.2011 01:15:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
04.12.2011 02:00:00.000 GMT+0100,1.55908,1.55908,1.55908,1.55908,0
